iter	Passed	Remaining
0	170	170221
1	174	87135
2	180	59961
3	183	45568
4	185	36962
5	188	31209
6	191	27219
7	194	24129
8	197	21716
9	199	19793
10	202	18207
11	208	17147
12	210	16004
13	213	15021
14	216	14197
15	219	13468
16	221	12819
17	224	12240
18	227	11726
19	229	11248
20	235	10977
21	237	10579
22	240	10214
23	242	9878
24	245	9574
25	248	9317
26	250	9042
27	253	8797
28	255	8564
29	258	8348
30	260	8143
31	263	7958
32	265	7778
33	267	7608
34	270	7456
35	273	7320
36	275	7180
37	278	7052
38	281	6926
39	283	6798
40	285	6685
41	290	6626
42	292	6520
43	295	6421
44	298	6325
45	300	6232
46	303	6154
47	306	6070
48	308	5988
49	311	5911
50	313	5837
51	319	5825
52	321	5752
53	324	5681
54	326	5617
55	329	5556
56	332	5500
57	334	5437
58	337	5378
59	339	5325
60	342	5268
61	344	5214
62	347	5167
63	349	5113
64	351	5060
65	400	5661
66	403	5622
67	406	5573
68	446	6027
69	457	6078
70	461	6039
71	464	5990
72	467	5935
73	471	5895
74	473	5834
75	480	5843
76	482	5789
77	485	5732
78	487	5679
79	490	5641
80	492	5591
81	494	5541
82	499	5513
83	501	5471
84	506	5454
85	508	5408
86	513	5389
87	515	5345
88	518	5305
89	521	5269
90	523	5230
91	526	5193
92	528	5156
93	531	5120
94	533	5085
95	536	5051
96	538	5015
97	541	4981
98	543	4948
99	546	4921
100	549	4891
101	552	4860
102	554	4829
103	556	4798
104	559	4769
105	565	4767
106	567	4737
107	569	4707
108	572	4678
109	574	4648
110	576	4620
111	579	4594
112	581	4567
113	584	4541
114	586	4516
115	589	4492
116	593	4480
117	596	4455
118	598	4432
119	601	4409
120	603	4385
121	606	4362
122	608	4340
123	611	4319
124	613	4294
125	615	4271
126	617	4246
127	623	4246
128	626	4227
129	628	4207
130	631	4186
131	633	4166
132	636	4152
133	639	4133
134	642	4116
135	644	4096
136	647	4077
137	649	4058
138	652	4040
139	654	4021
140	656	4002
141	658	3979
142	661	3962
143	663	3946
144	666	3928
145	668	3910
146	671	3895
147	673	3879
148	679	3880
149	681	3862
150	683	3845
151	686	3828
152	688	3810
